// Dead Branch Summonable Monsters Database
//
// Structure of Database:
// MobID,DummyName,Rate

0,SCORPION,Scorpion,1001
1001,蝎子,214285
1002,波利,1000000
1004,蜂兵,357142
1005,吸血蝙蝠,357142
1007,绿棉虫,428571
1008,虫蛹,71428
1009,秃鹰,357142
1010,树精,357142
1011,苍蝇,357142
1012,罗达蛙,357142
1013,狼,357142
1014,魔菇,357142
1015,腐尸,357142
1016,邪骸弓箭手,214285
1018,克瑞米,357142
1019,大嘴鸟,357142
1020,曼陀罗魔花,357142
1023,兽人战士,214285
1024,森灵,357142
1025,青蛇,357142
1026,僵尸,214285
1028,邪骸士兵,214285
1029,蛇女伊丝,71428
1030,毒蛇,214285
1031,波波利,357142
1032,木乃伊犬,214285
1033,长老树精,214285
1034,达拉蛙,214285
1035,赤苍蝇,71428
1036,绿腐尸,214285
1037,黑蛇,71428
1040,巨石怪,214285
1041,木乃伊,214285
1042,绿苍蝇,357142
1044,人鱼,214285
1045,马克,214285
1047,大嘴鸟蛋,71428
1048,盗虫卵,71428
1049,小鸡,357142
1050,蛋壳小鸡,357142
1051,盗虫,357142
1052,蝗虫,357142
1053,浮勒盗虫,357142
1054,玛勒盗虫,357142
1055,摩卡,357142
1056,狸猫,357142
1057,溜溜猴,357142
1058,重金属蝗虫,214285
1060,大脚熊,214285
1061,梦魇,71428
1062,圣诞波利,357142
1063,疯兔,357142
1064,邪骸食人鱼,214285
1065,海神,214285
1066,螃蟹,357142
1067,卡那多斯,214285
1068,海葵,357142
1069,异变鱼,214285
1070,库克雷,357142
1071,邪骸海盗,214285
1072,卡浩,71428
1073,卡拉蟹,214285
1074,贝壳魔灵,357142
1076,邪骸战士,357142
1077,毒魔菇,357142
1078,红草,71428
1079,蓝草,71428
1080,绿草,71428
1081,黄草,71428
1082,白草,71428
1083,光芒草,71428
1084,黑菇,71428
1085,红菇,71428
1088,摇滚蝗虫,71428
1089,蛙王,71428
1090,波利之王,71428
1091,龙蝇,71428
1092,流浪之狼,71428
1093,蓝疯兔,71428
1094,蜗牛,357142
1095,白蚁,357142
1096,天使波利,71428
1097,白蚁幼虫,71428
1099,艾吉欧蜈蚣,71428
1100,艾斯蜘蛛,214285
1101,小巴风特,71428
1102,巫婆,71428
1103,刺猬虫,214285
1104,松鼠,357142
1105,兵蚁,357142
1106,沙漠之狼,214285
1107,沙漠幼狼,71428
1108,狄奥斯,71428
1109,小恶魔,71428
1110,土人,214285
1111,红蝙蝠,214285
1113,土波利,357142
1114,猎蝇,214285
1116,转转蛋,214285
1117,闇神官,71428
1118,噬人花,214285
1119,伞蜥,214285
1120,幽灵波利,71428
1121,基尔瑟,214285
1122,刺刀哥布灵,214285
1123,链锤哥布灵,214285
1124,大斧哥布灵,214285
1125,榔头哥布灵,214285
1126,刺锤哥布灵,214285
1127,蚯蚓,214285
1128,锹形虫,357142
1129,鬼火,214285
1130,南瓜先生,214285
1131,裘卡,71428
1132,卡利斯格,71428
1133,大斧犬妖,214285
1134,榔头犬妖,214285
1135,刺锤犬妖,214285
1138,魔锅蛋,214285
1139,螳螂,214285
1140,马尔杜克,214285
1141,水母,214285
1142,气泡虫,214285
1143,傀儡娃娃,71428
1144,乌贼,214285
1145,土拨鼠,357142
1146,黑狐,214285
1148,米杜沙,71428
1149,米洛斯,71428
1151,麦斯特,214285
1152,邪骸兽人,214285
1153,兽人腐尸,214285
1154,帕莎纳,71428
1155,毕帝特地龙,71428
1156,毕帝特飞龙,71428
1158,剑鱼,214285
1160,工蚁,357142
1161,漂浮虫,357142
1163,幽灵剑士,71428
1164,诺可伊,214285
1165,泥人,214285
1166,野猪,214285
1167,小野猪,357142
1169,邪骸矿工,214285
1170,鬼女,214285
1174,瓢虫,357142
1175,白鼠,357142
1176,黑蚁,214285
1177,兹诺克,214285
1178,杰洛米,214285
1179,白幽灵,71428
1180,九尾狐,71428
1182,盗蘑菇,71428
1185,白幽灵,71428
1186,巨大白幽灵,71428
1188,妖道,214285
