// Monster Database
//
// Structure of Database :
// ID,Sprite_Name,kROName,iROName,LV,HP,SP,EXP,JEXP,Range1,ATK1,ATK2,DEF,MDEF,STR,AGI,VIT,INT,DEX,LUK,Range2,Range3,Scale,Race,Element,Mode,Speed,aDelay,aMotion,dMotion,MEXP,ExpPer,MVP1id,MVP1per,MVP2id,MVP2per,MVP3id,MVP3per,Drop1id,Drop1per,Drop2id,Drop2per,Drop3id,Drop3per,Drop4id,Drop4per,Drop5id,Drop5per,Drop6id,Drop6per,Drop7id,Drop7per,Drop8id,Drop8per,Drop9id,Drop9per,DropCardid,DropCardper
// Note: Keep the Sprite_Name field as it is (in the game client). You may change Name,JName field tough

1001,SCORPION,Ð«×Ó,Scorpion,16,153,0,108,81,1,54,67,16,5,1,15,10,5,19,5,10,12,0,4,23,0x3195,200,1564,864,576,0,0,0,0,0,0,0,0,990,70,904,5500,757,57,943,210,7041,100,508,200,625,20,0,0,0,0,4068,1
1002,PORING,²¨Àû,Poring,1,60,0,27,20,1,13,16,2,5,1,6,1,0,6,5,10,12,1,3,21,0x83,400,1872,672,480,0,0,0,0,0,0,0,0,909,7000,1202,100,938,400,512,1000,713,1500,512,150,619,20,0,0,0,0,4001,1
//1003,TESTEGG,Test Egg,Test Egg,2,100000,0,10,10,0,3,9,99,0,1,99,1,1,1,1,10,12,0,4,22,0,512,0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1004,HORNET,·ä±ø,Hornet,11,90,0,81,60,1,33,38,7,1,6,24,4,5,4,5,10,12,0,4,24,0x1189,150,1292,792,216,0,0,0,0,0,0,0,0,992,80,939,9000,909,3500,1208,15,511,350,518,150,0,0,0,0,0,0,4019,1
1005,FARMILIAR,ÎüÑªòùòð,Familiar,24,427,0,144,162,1,93,120,26,5,1,19,20,5,20,1,10,12,0,2,27,0x3885,150,1276,576,384,0,0,0,0,0,0,0,0,913,5500,1105,20,2209,15,601,50,514,100,507,700,645,50,0,0,0,0,4020,1
//1006,THIEF_BUG_LARVA,Thief Bug Larva,Thief Bug Larva,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1007,FABRE,ÂÌÃÞ³æ,Fabre,6,72,0,54,41,1,27,32,24,0,1,5,5,5,12,5,10,12,0,4,22,0x181,400,1672,672,480,0,0,0,0,0,0,0,0,914,6500,949,500,1502,80,721,5,511,700,705,1000,1501,200,0,0,0,0,4002,1
1008,PUPA,³æÓ¼,Pupa,4,66,0,36,27,0,15,16,24,2,1,1,3,3,8,6,10,12,0,4,22,0x100,1000,1001,1,1,0,0,0,0,0,0,0,0,1010,80,915,5500,938,600,2102,2,935,1000,938,600,1002,200,0,0,0,0,4003,1
1009,CONDOR,ÍºÓ¥,Condor,12,114,0,81,60,1,37,42,7,5,1,7,6,0,13,5,10,12,1,2,24,0x1089,150,1148,648,480,0,0,0,0,0,0,0,0,917,9000,1702,150,715,80,1750,5500,517,400,916,2000,582,600,0,0,0,0,4015,1
1010,WILOW,Ê÷¾«,Willow,8,91,0,63,47,1,31,36,38,2,1,3,8,5,12,5,10,12,1,3,22,0x81,200,1672,672,432,0,0,0,0,0,0,0,0,902,9000,1019,100,907,1500,516,700,1068,3500,1067,2000,1066,1000,0,0,0,0,4010,1
1011,CHONCHON,²ÔÓ¬,Chonchon,5,57,0,45,36,1,26,31,27,0,1,4,4,0,8,0,10,12,0,4,24,0x181,200,1076,576,480,0,0,0,0,0,0,0,0,998,50,935,6500,909,1500,1205,55,601,100,742,5,1002,150,0,0,0,0,4009,1
1012,RODA_FROG,ÂÞ´ïÍÜ,Roda Frog,13,160,0,90,68,1,40,47,12,5,1,6,4,0,14,9,10,12,1,5,21,0x81,200,2016,816,288,0,0,0,0,0,0,0,0,918,9000,908,500,511,300,721,7,713,2000,0,0,0,0,0,0,0,0,4014,1
1013,WOLF,ÀÇ,Wolf,45,1219,0,342,386,1,136,168,55,3,1,24,30,15,33,5,10,12,1,2,22,0x1089,200,1054,504,432,0,0,0,0,0,0,0,0,1011,20,920,9000,2308,10,517,650,528,1050,919,5500,578,600,0,0,0,0,4029,1
1014,SPORE,Ä§¹½,Spore,18,280,0,117,87,1,53,63,12,10,1,5,10,0,12,0,10,12,1,3,21,0x81,200,1872,672,288,0,0,0,0,0,0,0,0,921,9000,507,800,510,50,743,10,2220,40,7033,5,578,600,0,0,0,0,4022,1
1015,ZOMBIE,¸¯Ê¬,Zombie,17,234,0,117,87,1,62,77,20,3,1,8,17,0,15,0,10,12,1,1,29,0x3885,400,2612,912,288,0,0,0,0,0,0,0,0,957,9000,724,5,938,1000,958,50,727,70,0,0,0,0,0,0,0,0,4038,1
1016,ARCHER_SKELETON,Ð°º¡¹­¼ýÊÖ,Archer Skeleton,50,1646,0,405,455,9,152,188,47,10,1,29,20,10,32,5,10,12,1,1,29,0x2085,300,2864,864,576,0,0,0,0,0,0,0,0,932,4500,756,70,2285,3,1708,35,1752,1000,507,1800,1701,150,0,0,0,0,4094,1
//1017,THIEF_BUG_FEMALE,Thief Bug Female,Thief Bug Female,10,170,0,35,18,1,33,40,5,5,1,15,10,5,23,5,10,12,1,4,27,651,200,988,288,768,0,0,0,0,0,0,0,0,955,3500,910,250,1108,15,928,200,507,400,716,50,1002,400,0,0,0,0,4026,1
1018,CREAMY,¿ËÈðÃ×,Creamy,23,378,0,144,162,1,87,112,28,20,1,1,1,0,1,20,10,12,0,4,24,0x181,150,1136,720,840,0,0,0,0,0,0,0,0,924,9000,2322,10,518,150,602,100,2207,2,712,500,692,100,0,0,0,0,4040,1
1019,PECOPECO,´ó×ìÄñ,Peco Peco,25,446,0,162,183,1,106,137,48,0,1,10,13,5,28,5,10,12,2,2,23,0x1089,200,1564,864,576,0,0,0,0,0,0,0,0,925,9000,2402,20,508,200,507,900,1604,100,0,0,582,1000,0,0,0,0,4031,1
1020,MANDRAGORA,ÂüÍÓÂÞÄ§»¨,Mandragora,13,156,0,97,73,4,41,49,13,2,1,3,5,5,10,5,10,12,1,3,62,0x84,1000,1768,768,576,0,0,0,0,0,0,0,0,993,50,905,9000,1405,30,511,350,711,300,706,3,1967,10,0,0,0,0,4030,1
//1021,THIEF_BUG_MALE,Thief Bug Male,Thief Bug Male,19,583,0,223,93,1,76,88,15,5,1,29,16,5,36,1,10,12,1,4,27,653,300,988,288,768,0,0,0,0,0,0,0,0,1011,40,928,5500,955,1500,1152,10,508,90,729,5,1116,50,0,0,0,0,4050,1
//1022,WEREWOLF,Werewolf,Werewolf,80,28600,0,11813,7289,2,2560,3280,65,35,1,97,60,1,135,52,10,10,2,0,40,163,200,1500,768,652,0,0,0,0,0,0,0,0,999,500,1034,4000,984,500,985,500,7017,800,0,0,1912,300,0,0,0,0,0,0
1023,ORK_WARRIOR,ÊÞÈËÕ½Ê¿,Orc Warrior,44,1434,0,350,540,1,132,161,52,3,1,15,24,15,16,10,10,12,1,7,22,0x3885,200,1864,864,288,0,0,0,0,0,0,0,0,998,210,931,9000,756,40,2267,3,1352,10,1304,5,1301,100,2147,10,0,0,4066,1
1024,WORM_TAIL,É­Áé,Wormtail,17,200,0,117,87,2,44,53,16,0,1,6,14,5,12,35,10,12,1,3,22,0x91,200,1048,48,192,0,0,0,0,0,0,0,0,993,60,1011,25,906,5500,1408,30,508,70,721,5,10015,100,0,0,0,0,4034,1
1025,SNAKE,ÇàÉß,Boa,18,217,0,117,87,1,46,55,9,8,1,8,18,10,14,15,10,12,1,2,22,0x81,200,1576,576,576,0,0,0,0,0,0,0,0,926,9000,1117,15,507,900,1011,35,937,800,954,1,578,600,0,0,0,0,4037,1
1026,MUNAK,½©Ê¬,Munak,58,2445,0,495,557,1,251,321,77,15,1,9,25,10,30,10,10,12,1,1,29,0x3885,200,2468,768,288,0,0,0,0,0,0,0,0,901,9000,2264,2,2404,15,609,20,2337,1,2305,100,1558,5,0,0,0,0,4090,1
//1027,RAPTICE,Raptice,Raptice,17,600,0,100,55,1,0,0,5,10,5,20,20,0,28,10,10,12,1,2,22,131,200,2000,1000,500,0,0,0,0,0,0,0,0,909,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1028,SOLDIER_SKELETON,Ð°º¡Ê¿±ø,Soldier Skeleton,34,804,0,216,243,1,115,148,53,5,1,10,32,5,29,3,10,12,1,1,29,0x3885,200,2276,576,432,0,0,0,0,0,0,0,0,932,5500,756,60,1214,12,507,700,934,10,1201,150,1216,50,0,0,0,0,4086,1
1029,ISIS,ÉßÅ®ÒÁË¿,Isis,59,2092,0,531,597,1,270,347,83,5,38,43,22,5,39,15,10,12,2,6,27,0x3195,200,1384,768,336,0,0,0,0,0,0,0,0,936,5335,2233,5,2603,1,733,150,732,20,954,1000,731,5,0,0,0,0,4116,1
1030,ANACONDAQ,¶¾Éß,Anacondaq,100,8510,0,1602,1202,1,489,644,92,0,1,46,28,43,56,25,10,12,1,2,25,0x91,200,1576,576,576,0,0,0,0,0,0,0,0,1011,50,937,9000,1455,10,926,1500,936,200,508,150,756,50,0,0,0,0,4062,1
1031,POPORING,²¨²¨Àû,Poporing,30,524,0,198,224,1,106,135,36,17,1,26,20,18,36,5,10,12,1,3,25,0x83,300,1672,672,480,0,0,0,0,0,0,0,0,938,5500,910,1500,511,500,514,200,512,5,1207,5,512,250,0,0,0,0,4033,1
1032,VERIT,±ÏÀ³ÌØ,Verit,52,1944,0,414,467,1,208,261,63,10,1,4,25,10,5,5,10,12,1,1,29,0x83,250,2468,768,480,0,0,0,0,0,0,0,0,929,9000,912,700,930,1100,509,600,2609,1,2612,200,639,20,0,0,0,0,4107,1
1033,ELDER_WILOW,³¤ÀÏÊ÷¾«,Elder Willow,34,599,0,233,263,1,108,140,45,0,1,14,25,0,29,0,10,12,1,3,43,0x3095,200,1372,672,432,0,0,0,0,0,0,0,0,990,50,907,9000,1019,350,757,40,2329,30,690,100,604,100,7939,50,0,0,4052,1
1034,THARA_FROG,´ïÀ­ÍÜ,Thara Frog,40,1157,0,311,350,1,123,152,37,17,1,10,10,18,30,2,10,12,1,5,41,0x81,200,2016,816,288,0,0,0,0,0,0,0,0,1011,45,908,5500,911,600,509,30,725,5,918,2000,0,0,0,0,0,0,4058,1
1035,HUNTER_FLY,³à²ÔÓ¬,Hunter Fly,63,2050,0,604,681,1,191,231,46,20,33,72,22,25,79,15,10,12,0,4,44,0x3985,150,676,576,480,0,0,0,0,0,0,0,0,996,30,999,100,943,5335,912,1300,756,129,2259,1,1226,2,0,0,0,0,4115,1
1036,GHOUL,ÂÌ¸¯Ê¬,Ghoul,61,2614,0,583,656,1,289,376,78,5,1,12,19,11,27,10,10,12,1,1,49,0x3885,250,2456,912,504,0,0,0,0,0,0,0,0,958,6000,756,110,509,700,511,800,2609,60,934,150,1260,1,0,0,0,0,4110,1
1037,SIDE_WINDER,ºÚÉß,Side Winder,70,2736,0,720,810,1,362,483,101,12,38,32,35,20,66,15,10,12,1,2,25,0x3095,200,1576,576,576,0,0,0,0,0,0,0,0,954,5335,912,1400,756,134,1120,2,937,2500,926,5000,509,1000,0,0,0,0,4117,1
1038,OSIRIS,¶íÈûÀïË¹,Osiris,68,475840,0,245520,200880,1,1429,2061,172,164,1,99,86,131,145,67,10,12,1,1,89,0x37B5,100,1072,672,384,35750,10000,603,4000,608,3000,751,500,617,2000,1232,150,2235,200,1255,600,1009,1000,5053,150,984,3783,1285,400,0,0,4144,1
1039,BAPHOMET,°Í·çÌØ,Baphomet,81,668000,0,396525,334106,2,2492,3637,279,45,1,125,30,85,155,85,10,12,2,6,67,0x37B5,100,768,768,576,53625,10000,607,2000,750,500,923,5000,1466,400,2256,300,1476,50,714,500,5160,10,985,5432,984,4171,0,0,0,0,4147,1
1040,GOLEM,¾ÞÊ¯¹Ö,Golem,61,2245,0,540,608,1,289,368,190,12,1,27,67,5,31,5,10,12,2,0,60,0x91,300,1608,816,396,0,0,0,0,0,0,0,0,999,150,953,9000,912,220,757,70,1003,210,715,200,998,350,2146,20,0,0,4072,1
1041,MUMMY,Ä¾ÄËÒÁ,Mummy,55,2155,0,486,548,1,245,314,95,3,28,4,14,1,62,0,10,12,1,1,49,0x3885,300,1772,72,384,0,0,0,0,0,0,0,0,930,9000,756,100,934,550,2604,1,2611,10,525,250,508,850,0,0,0,0,4106,1
